uniprot:P14064	uniprot:P49089	geneid:853751	geneid:856268	uniprot:"HAP4"("protein name")	uniprot:"ASN1"("protein name")	psi-mi:"MI:0980"("tag visualisation by enzyme assay")	-	pubmed:8951815|pubmed:24170807	taxid:4932("Saccharomyces cerevisiae")	taxid:4932("Saccharomyces cerevisiae")	psi-mi:"MI:2232"("molecular association")	pubmed:24170807("Yeastract")	-	-	-	psi-mi:"MI:2274"("regulator")	psi-mi:"MI:2275"("regulator target")	psi-mi:"MI:0499"("unspecified role")	psi-mi:"MI:0499"("unspecified role")	psi-mi:"MI:0326"("protein")	psi-mi:"MI:0250"("gene")	-	-	-	function:"activator"	-	-	-	-	2017/05/01	2020/07/22	-	-	-	-	-	-	-	-	-	-	-	-	-	-
uniprot:P53035	uniprot:P38361	geneid:852663	geneid:852599	uniprot:"MIG2"("protein name")	uniprot:"PHO89"("protein name")	psi-mi:"MI:0008/MI:0080"("array technology/partial DNA sequence identification by hybridization")|psi-mi:"MI:0980"("tag visualisation by enzyme assay")	-	pubmed:19087243|pubmed:20385592|pubmed:24170807|pubmed:25266663	taxid:4932("Saccharomyces cerevisiae")	taxid:4932("Saccharomyces cerevisiae")	psi-mi:"MI:2232"("molecular association")	pubmed:24170807("Yeastract")	-	-	-	psi-mi:"MI:2274"("regulator")	psi-mi:"MI:2275"("regulator target")	psi-mi:"MI:0499"("unspecified role")	psi-mi:"MI:0499"("unspecified role")	psi-mi:"MI:0326"("protein")	psi-mi:"MI:0250"("gene")	-	-	-	function:"repressor"	-	-	-	-	2017/05/01	2020/07/22	-	-	-	-	-	-	-	-	-	-	-	-	-	-
uniprot:Q12224	uniprot:P33304	geneid:856016	geneid:851658	uniprot:"RLM1"("protein name")	uniprot:"AFR1"("protein name")	psi-mi:"MI:0008/MI:0080"("array technology/partial DNA sequence identification by hybridization")|psi-mi:"MI:0225"("chromatin immunoprecipitation array")|psi-mi:"MI:0980"("tag visualisation by enzyme assay")	-	pubmed:19234305|pubmed:22621902|pubmed:15343339|pubmed:14739279|pubmed:24170807	taxid:4932("Saccharomyces cerevisiae")	taxid:4932("Saccharomyces cerevisiae")	psi-mi:"MI:2232"("molecular association")	pubmed:24170807("Yeastract")	-	-	-	psi-mi:"MI:2274"("regulator")	psi-mi:"MI:2275"("regulator target")	psi-mi:"MI:0499"("unspecified role")	psi-mi:"MI:0499"("unspecified role")	psi-mi:"MI:0326"("protein")	psi-mi:"MI:0250"("gene")	-	-	-	function:"activator"	-	-	-	-	2017/05/01	2020/07/22	-	-	-	-	-	-	-	-	-	-	-	-	-	-
uniprot:P20134	uniprot:P31539	geneid:854307	geneid:850633	uniprot:"SFL1"("protein name")	uniprot:"HSP104"("protein name")	psi-mi:"MI:0980"("tag visualisation by enzyme assay")	-	pubmed:11923285|pubmed:24170807	taxid:4932("Saccharomyces cerevisiae")	taxid:4932("Saccharomyces cerevisiae")	psi-mi:"MI:2232"("molecular association")	pubmed:24170807("Yeastract")	-	-	-	psi-mi:"MI:2274"("regulator")	psi-mi:"MI:2275"("regulator target")	psi-mi:"MI:0499"("unspecified role")	psi-mi:"MI:0499"("unspecified role")	psi-mi:"MI:0326"("protein")	psi-mi:"MI:0250"("gene")	-	-	-	function:"activator"	-	-	-	-	2017/05/01	2020/07/22	-	-	-	-	-	-	-	-	-	-	-	-	-	-
uniprot:P20134	uniprot:P38862	geneid:854307	geneid:856576	uniprot:"SFL1"("protein name")	uniprot:"ATG7"("protein name")	psi-mi:"MI:1194"("reverse transcription pcr")	-	pubmed:24170807|pubmed:26649943	taxid:4932("Saccharomyces cerevisiae")	taxid:4932("Saccharomyces cerevisiae")	psi-mi:"MI:2232"("molecular association")	pubmed:24170807("Yeastract")	-	-	-	psi-mi:"MI:2274"("regulator")	psi-mi:"MI:2275"("regulator target")	psi-mi:"MI:0499"("unspecified role")	psi-mi:"MI:0499"("unspecified role")	psi-mi:"MI:0326"("protein")	psi-mi:"MI:0250"("gene")	-	-	-	function:"activator"	-	-	-	-	2017/05/01	2020/07/22	-	-	-	-	-	-	-	-	-	-	-	-	-	-
uniprot:P32805	uniprot:P0CH63	geneid:852638	geneid:850483|geneid:855381	uniprot:"FZF1"("protein name")	uniprot:"DDI2"("protein name")	psi-mi:"MI:0980"("tag visualisation by enzyme assay")	-	pubmed:16014606|pubmed:24170807	taxid:4932("Saccharomyces cerevisiae")	taxid:4932("Saccharomyces cerevisiae")	psi-mi:"MI:2232"("molecular association")	pubmed:24170807("Yeastract")	-	-	-	psi-mi:"MI:2274"("regulator")	psi-mi:"MI:2275"("regulator target")	psi-mi:"MI:0499"("unspecified role")	psi-mi:"MI:0499"("unspecified role")	psi-mi:"MI:0326"("protein")	psi-mi:"MI:0250"("gene")	-	-	-	function:"activator"	-	-	-	-	2017/05/01	2020/07/22	-	-	-	-	-	-	-	-	-	-	-	-	-	-
uniprot:P41813	uniprot:P32610	geneid:855656	geneid:856659	uniprot:"FKH2"("protein name")	uniprot:"VMA8"("protein name")	psi-mi:"MI:0008/MI:0080"("array technology/partial DNA sequence identification by hybridization")|psi-mi:"MI:1195"("quantitative pcr")	-	pubmed:24170807|pubmed:20385592|pubmed:29519938	taxid:4932("Saccharomyces cerevisiae")	taxid:4932("Saccharomyces cerevisiae")	psi-mi:"MI:2232"("molecular association")	pubmed:24170807("Yeastract")	-	-	-	psi-mi:"MI:2274"("regulator")	psi-mi:"MI:2275"("regulator target")	psi-mi:"MI:0499"("unspecified role")	psi-mi:"MI:0499"("unspecified role")	psi-mi:"MI:0326"("protein")	psi-mi:"MI:0250"("gene")	-	-	-	function:"activator"|function:"repressor"	-	-	-	-	2017/05/01	2020/07/22	-	-	-	-	-	-	-	-	-	-	-	-	-	-
uniprot:P41546	uniprot:P18852	geneid:850513	geneid:853548	uniprot:"HAC1"("protein name")	uniprot:"STE18"("protein name")	psi-mi:"MI:0417"("footprinting")|psi-mi:"MI:1182"("full identification by RNA sequencing")	-	pubmed:30016623|pubmed:24170807	taxid:4932("Saccharomyces cerevisiae")	taxid:4932("Saccharomyces cerevisiae")	psi-mi:"MI:2232"("molecular association")	pubmed:24170807("Yeastract")	-	-	-	psi-mi:"MI:2274"("regulator")	psi-mi:"MI:2275"("regulator target")	psi-mi:"MI:0499"("unspecified role")	psi-mi:"MI:0499"("unspecified role")	psi-mi:"MI:0326"("protein")	psi-mi:"MI:0250"("gene")	-	-	-	function:"activator"	-	-	-	-	2017/05/01	2020/07/22	-	-	-	-	-	-	-	-	-	-	-	-	-	-
uniprot:P41546	uniprot:Q04608	geneid:850513	geneid:851702	uniprot:"HAC1"("protein name")	uniprot:"YD124_YEAST"("protein name")	psi-mi:"MI:0417"("footprinting")|psi-mi:"MI:1182"("full identification by RNA sequencing")	-	pubmed:30016623|pubmed:24170807	taxid:4932("Saccharomyces cerevisiae")	taxid:4932("Saccharomyces cerevisiae")	psi-mi:"MI:2232"("molecular association")	pubmed:24170807("Yeastract")	-	-	-	psi-mi:"MI:2274"("regulator")	psi-mi:"MI:2275"("regulator target")	psi-mi:"MI:0499"("unspecified role")	psi-mi:"MI:0499"("unspecified role")	psi-mi:"MI:0326"("protein")	psi-mi:"MI:0250"("gene")	-	-	-	function:"activator"	-	-	-	-	2017/05/01	2020/07/22	-	-	-	-	-	-	-	-	-	-	-	-	-	-
uniprot:P38141	uniprot:P05737	geneid:852542	geneid:852804	uniprot:"THI2"("protein name")	uniprot:"RPL7A"("protein name")	psi-mi:"MI:1194"("reverse transcription pcr")	-	pubmed:29686730|pubmed:24170807	taxid:4932("Saccharomyces cerevisiae")	taxid:4932("Saccharomyces cerevisiae")	psi-mi:"MI:2232"("molecular association")	pubmed:24170807("Yeastract")	-	-	-	psi-mi:"MI:2274"("regulator")	psi-mi:"MI:2275"("regulator target")	psi-mi:"MI:0499"("unspecified role")	psi-mi:"MI:0499"("unspecified role")	psi-mi:"MI:0326"("protein")	psi-mi:"MI:0250"("gene")	-	-	-	function:"repressor"	-	-	-	-	2017/05/01	2020/07/22	-	-	-	-	-	-	-	-	-	-	-	-	-	-
