UniprotID.TF,UniprotID.Target,NCBI.GeneID.TF,NCBI.GeneID.Target,Name.TF,Name.Target,Detection.method,PubmedID,Organism,Source.database
Q09555,Q9XW70,174577,190704,daf-19,osm-12,inferred by curator,26578589;15790967,Caenorhabditis elegans,ORegAnno
P34708,O18214,-,174533,tra-1,mab-3,chromatin immunoprecipitation assay;inferred by curator,26578589;27924024;11003845,Caenorhabditis elegans,GTRD;ORegAnno
Q17381,Q22235,180357,178014,pha-4,enpl-1,chromatin immunoprecipitation assay;inferred by curator,26578589;27924024;11823633,Caenorhabditis elegans,GTRD;ORegAnno
Q17381,H2KYX5,180357,173391,pha-4,-,chromatin immunoprecipitation assay;inferred by curator,15492775;26578589;27924024,Caenorhabditis elegans,GTRD;ORegAnno
A0A0K3AYJ4,P12845,180431,181404,daf-3,myo-2,inferred by curator,9834189;26578589,Caenorhabditis elegans,ORegAnno
Q09555,O61830,174577,182822,daf-19,xbx-4,inferred by curator,26578589;15790967,Caenorhabditis elegans,ORegAnno
Q17381,Q22886,180357,-,pha-4,-,chromatin immunoprecipitation assay;inferred by curator,15492775;26578589;27924024,Caenorhabditis elegans,GTRD;ORegAnno
Q17381,Q19191,180357,-,pha-4,-,chromatin immunoprecipitation assay;inferred by curator,15492775;26578589;27924024,Caenorhabditis elegans,GTRD;ORegAnno
Q09555,Q19119,174577,184080,daf-19,xbx-1,inferred by curator,26578589;15790967,Caenorhabditis elegans,ORegAnno
Q09555,Q8I7F8,174577,175950,daf-19,odr-4,inferred by curator,26578589;15790967,Caenorhabditis elegans,ORegAnno
Q17381,O16420,180357,178811,pha-4,phat-5,inferred by curator,15492775;26578589,Caenorhabditis elegans,ORegAnno
Q21361,G5EDU6,174399,175485,atf-2,lin-48,inferred by curator,16310763;26578589,Caenorhabditis elegans,ORegAnno
Q09555,P90757,174577,179666,daf-19,che-11,inferred by curator,26578589;15790967,Caenorhabditis elegans,ORegAnno
G5EE86,O02213,181357,182110,ttx-3,ser-2,inferred by curator,26578589;15177025,Caenorhabditis elegans,ORegAnno
Q09555,Q18917,174577,183892,daf-19,dylt-2,inferred by curator,26578589;15790967,Caenorhabditis elegans,ORegAnno
O18214,G5EEQ5,174533,174585,mab-3,ref-1,inferred by curator,15935777;26578589,Caenorhabditis elegans,ORegAnno
Q17381,D2YW11,180357,176809,pha-4,-,chromatin immunoprecipitation assay;inferred by curator,15492775;26578589;27924024,Caenorhabditis elegans,GTRD;ORegAnno
Q10655,P17511,181250,179060,elt-2,mtl-1,inferred by curator,26578589;10514435,Caenorhabditis elegans,ORegAnno
Q17381,Q19809,180357,178975,pha-4,-,inferred by curator,15492775;26578589,Caenorhabditis elegans,ORegAnno
Q09555,O17269,174577,-,daf-19,-,inferred by curator,26578589;15790967,Caenorhabditis elegans,ORegAnno
Q94126,G5EDU6,173365,175485,ces-2,lin-48,inferred by curator,16310763;26578589,Caenorhabditis elegans,ORegAnno
Q17381,Q93377,180357,181553,pha-4,lron-1,chromatin immunoprecipitation assay;inferred by curator,26578589;27924024;11823633,Caenorhabditis elegans,GTRD;ORegAnno
Q17381,P12845,180357,181404,pha-4,myo-2,chromatin immunoprecipitation assay;inferred by curator,26578589;27924024;11823633,Caenorhabditis elegans,GTRD;ORegAnno
Q17381,Q20712,180357,180577,pha-4,-,chromatin immunoprecipitation assay;inferred by curator,15492775;26578589;27924024,Caenorhabditis elegans,GTRD;ORegAnno
Q17381,Q6A5A0,180357,173391,pha-4,-,chromatin immunoprecipitation assay;inferred by curator,15492775;26578589;27924024,Caenorhabditis elegans,GTRD;ORegAnno
Q7Z1Q1,P12845,-,181404,peb-1,myo-2,inferred by curator,11203704;26578589,Caenorhabditis elegans,ORegAnno
Q17381,A0A0M9JJ85,180357,178740,pha-4,ketn-1,chromatin immunoprecipitation assay;inferred by curator,15492775;26578589;27924024,Caenorhabditis elegans,GTRD;ORegAnno
P13528,A5PEW5,176157,179427,unc-86,ric-4,inferred by curator,14529613;26578589,Caenorhabditis elegans,ORegAnno
P41935,O02213,175811,182110,ceh-10,ser-2,inferred by curator,26578589;15177025,Caenorhabditis elegans,ORegAnno
Q09555,Q23049,174577,188904,daf-19,bbs-8,inferred by curator,26578589;15790967,Caenorhabditis elegans,ORegAnno
G5EE86,G5ECA8,181357,191666,ttx-3,hen-1,inferred by curator,26578589;15177025,Caenorhabditis elegans,ORegAnno
Q17381,Q22250,180357,174710,pha-4,plpr-1,chromatin immunoprecipitation assay;inferred by curator,15492775;26578589;27924024,Caenorhabditis elegans,GTRD;ORegAnno
G5EE86,P32756,181357,24105307,ttx-3,cha-1,inferred by curator,26578589;15177025,Caenorhabditis elegans,ORegAnno
Q17381,Q23610,180357,191431,pha-4,-,inferred by curator,26578589;11823633,Caenorhabditis elegans,ORegAnno
