TFLinkID	UniprotID.TF	Name.TF	Organism	Detection.method	PubmedID	Source.database	Assembly	Chromosome	Start	End	Strand
TFLinkLT00976595	Q966L8	che-1	Caenorhabditis elegans	inferred by curator	17606643	jaspar	-	-	-	-	-
TFLinkLT00976596	Q966L8	che-1	Caenorhabditis elegans	inferred by curator	17606643	jaspar	-	-	-	-	-
TFLinkLT00976597	Q966L8	che-1	Caenorhabditis elegans	inferred by curator	17606643	jaspar	-	-	-	-	-
TFLinkLT00976598	Q966L8	che-1	Caenorhabditis elegans	inferred by curator	17606643	jaspar	-	-	-	-	-
TFLinkLT00976599	Q966L8	che-1	Caenorhabditis elegans	inferred by curator	17606643	jaspar	-	-	-	-	-
TFLinkLT00976600	Q966L8	che-1	Caenorhabditis elegans	inferred by curator	17606643	jaspar	-	-	-	-	-
TFLinkLT00976601	Q966L8	che-1	Caenorhabditis elegans	inferred by curator	17606643	jaspar	-	-	-	-	-
TFLinkLT00976602	Q966L8	che-1	Caenorhabditis elegans	inferred by curator	17606643	jaspar	-	-	-	-	-
TFLinkLT00976603	Q966L8	che-1	Caenorhabditis elegans	inferred by curator	17606643	jaspar	-	-	-	-	-
TFLinkLT00976604	Q966L8	che-1	Caenorhabditis elegans	inferred by curator	17606643	jaspar	-	-	-	-	-
TFLinkLT00976605	Q966L8	che-1	Caenorhabditis elegans	inferred by curator	17606643	jaspar	-	-	-	-	-
TFLinkLT00976606	Q966L8	che-1	Caenorhabditis elegans	inferred by curator	17606643	jaspar	-	-	-	-	-
TFLinkLT00976607	Q966L8	che-1	Caenorhabditis elegans	inferred by curator	17606643	jaspar	-	-	-	-	-
TFLinkLT00976608	Q966L8	che-1	Caenorhabditis elegans	inferred by curator	17606643	jaspar	-	-	-	-	-
TFLinkLT00976609	Q966L8	che-1	Caenorhabditis elegans	inferred by curator	17606643	jaspar	-	-	-	-	-
TFLinkLT00976610	Q966L8	che-1	Caenorhabditis elegans	inferred by curator	17606643	jaspar	-	-	-	-	-
TFLinkLT00976611	Q966L8	che-1	Caenorhabditis elegans	inferred by curator	17606643	jaspar	-	-	-	-	-
TFLinkLT00976612	Q966L8	che-1	Caenorhabditis elegans	inferred by curator	17606643	jaspar	-	-	-	-	-
TFLinkLT00976613	Q966L8	che-1	Caenorhabditis elegans	inferred by curator	17606643	jaspar	-	-	-	-	-
TFLinkLT00976614	Q966L8	che-1	Caenorhabditis elegans	inferred by curator	17606643	jaspar	-	-	-	-	-
TFLinkLT00976615	Q966L8	che-1	Caenorhabditis elegans	inferred by curator	17606643	jaspar	-	-	-	-	-
TFLinkLT00976616	Q966L8	che-1	Caenorhabditis elegans	inferred by curator	17606643	jaspar	-	-	-	-	-
TFLinkLT00976617	Q966L8	che-1	Caenorhabditis elegans	inferred by curator	17606643	jaspar	-	-	-	-	-
TFLinkLT00976618	Q966L8	che-1	Caenorhabditis elegans	inferred by curator	17606643	jaspar	-	-	-	-	-
TFLinkLT00976619	Q966L8	che-1	Caenorhabditis elegans	inferred by curator	17606643	jaspar	-	-	-	-	-
TFLinkLT00976620	Q966L8	che-1	Caenorhabditis elegans	inferred by curator	17606643	jaspar	-	-	-	-	-
TFLinkLT00976621	Q966L8	che-1	Caenorhabditis elegans	inferred by curator	17606643	jaspar	-	-	-	-	-
TFLinkLT09283313	Q17381	pha-4	Caenorhabditis elegans	inferred by curator	15492775	ORegAnno	ce10	chrII	11221837	11221843	+
TFLinkLT09283314	Q17381	pha-4	Caenorhabditis elegans	inferred by curator	15492775	ORegAnno	ce10	chrIII	13731645	13731651	-
TFLinkLT09283315	Q17381	pha-4	Caenorhabditis elegans	inferred by curator	11823633	ORegAnno	ce10	chrIV	11119343	11119349	+
TFLinkLT09283316	Q17381	pha-4	Caenorhabditis elegans	inferred by curator	11823633	ORegAnno	ce10	chrIV	8369654	8369660	-
TFLinkLT09283317	Q17381	pha-4	Caenorhabditis elegans	inferred by curator	11823633	ORegAnno	ce10	chrX	14572534	14572540	+
TFLinkLT09283318	Q17381	pha-4	Caenorhabditis elegans	inferred by curator	11823633	ORegAnno	ce10	chrX	14572529	14572535	+
TFLinkLT09283319	Q17381	pha-4	Caenorhabditis elegans	inferred by curator	11823633	ORegAnno	ce10	chrX	3350436	3350442	-
TFLinkLT09283320	Q17381	pha-4	Caenorhabditis elegans	inferred by curator	11823633	ORegAnno	ce10	chrV	10672251	10672257	+
TFLinkLT09283321	Q17381	pha-4	Caenorhabditis elegans	inferred by curator	11823633	ORegAnno	ce10	chrII	7549231	7549237	+
TFLinkLT09283322	Q17381	pha-4	Caenorhabditis elegans	inferred by curator	11823633	ORegAnno	ce10	chrII	7549207	7549213	+
TFLinkLT09283323	Q17381	pha-4	Caenorhabditis elegans	inferred by curator	11823633	ORegAnno	ce10	chrI	7174357	7174363	-
TFLinkLT09283324	Q17381	pha-4	Caenorhabditis elegans	inferred by curator	11823633	ORegAnno	ce10	chrX	12467650	12467656	+
TFLinkLT09283325	Q09555	daf-19	Caenorhabditis elegans	inferred by curator	15790967	ORegAnno	ce10	chrIII	10035859	10035872	+
TFLinkLT09283326	Q09555	daf-19	Caenorhabditis elegans	inferred by curator	15790967	ORegAnno	ce10	chrIV	2114591	2114604	+
TFLinkLT09283327	Q09555	daf-19	Caenorhabditis elegans	inferred by curator	15790967	ORegAnno	ce10	chrIII	3804457	3804470	-
TFLinkLT09283328	Q09555	daf-19	Caenorhabditis elegans	inferred by curator	15790967	ORegAnno	ce10	chrIII	3186622	3186635	+
TFLinkLT09283329	Q09555	daf-19	Caenorhabditis elegans	inferred by curator	15790967	ORegAnno	ce10	chrV	12150742	12150755	-
TFLinkLT09283330	Q09555	daf-19	Caenorhabditis elegans	inferred by curator	15790967	ORegAnno	ce10	chrII	8157055	8157068	-
TFLinkLT09283331	Q09555	daf-19	Caenorhabditis elegans	inferred by curator	15790967	ORegAnno	ce10	chrV	8964140	8964153	-
TFLinkLT09283332	Q09555	daf-19	Caenorhabditis elegans	inferred by curator	15790967	ORegAnno	ce10	chrX	8940153	8940166	-
TFLinkLT09283333	Q09555	daf-19	Caenorhabditis elegans	inferred by curator	15790967	ORegAnno	ce10	chrX	481322	481335	+
TFLinkLT09283334	Q09555	daf-19	Caenorhabditis elegans	inferred by curator	15790967	ORegAnno	ce10	chrI	10515556	10515569	-
TFLinkLT09283335	Q09555	daf-19	Caenorhabditis elegans	inferred by curator	15790967	ORegAnno	ce10	chrX	16541260	16541273	+
TFLinkLT09283336	Q09555	daf-19	Caenorhabditis elegans	inferred by curator	15790967	ORegAnno	ce10	chrX	2984153	2984166	+
TFLinkLT09283337	Q09555	daf-19	Caenorhabditis elegans	inferred by curator	15790967	ORegAnno	ce10	chrV	11927474	11927487	-
TFLinkLT09283338	Q09555	daf-19	Caenorhabditis elegans	inferred by curator	15790967	ORegAnno	ce10	chrI	14376091	14376104	-
TFLinkLT09283339	Q09555	daf-19	Caenorhabditis elegans	inferred by curator	15790967	ORegAnno	ce10	chrIV	7934022	7934035	+
TFLinkLT09283340	Q09555	daf-19	Caenorhabditis elegans	inferred by curator	15790967	ORegAnno	ce10	chrIII	10261619	10261632	-
TFLinkLT09283341	Q09555	daf-19	Caenorhabditis elegans	inferred by curator	15790967	ORegAnno	ce10	chrIII	12202443	12202456	-
TFLinkLT09283342	Q09555	daf-19	Caenorhabditis elegans	inferred by curator	15790967	ORegAnno	ce10	chrV	6765071	6765084	-
TFLinkLT09283343	Q09555	daf-19	Caenorhabditis elegans	inferred by curator	15790967	ORegAnno	ce10	chrV	14980258	14980271	+
TFLinkLT09283344	Q09555	daf-19	Caenorhabditis elegans	inferred by curator	15790967	ORegAnno	ce10	chrV	9705184	9705197	+
TFLinkLT09283345	Q09555	daf-19	Caenorhabditis elegans	inferred by curator	15790967	ORegAnno	ce10	chrIII	13341166	13341179	+
TFLinkLT09283346	Q09555	daf-19	Caenorhabditis elegans	inferred by curator	15790967	ORegAnno	ce10	chrIII	6731919	6731932	+
TFLinkLT09283347	Q10655	elt-2	Caenorhabditis elegans	inferred by curator	7649372	ORegAnno	ce10	chrV	1433268	1433275	-
TFLinkLT09283348	Q10655	elt-2	Caenorhabditis elegans	inferred by curator	7649372	ORegAnno	ce10	chrV	1433256	1433263	-
TFLinkLT09283349	Q10655	elt-2	Caenorhabditis elegans	inferred by curator	10514435	ORegAnno	ce10	chrV	6692130	6692137	-
TFLinkLT09283350	Q10655	elt-2	Caenorhabditis elegans	inferred by curator	10514435	ORegAnno	ce10	chrV	14018691	14018698	-
TFLinkLT09283351	Q10655	elt-2	Caenorhabditis elegans	inferred by curator	10514435	ORegAnno	ce10	chrV	14018905	14018912	-
TFLinkLT09283352	G5EE86	ttx-3	Caenorhabditis elegans	inferred by curator	15177025	ORegAnno	ce10	chrIII	7833708	7833723	+
TFLinkLT09283353	P41935	ceh-10	Caenorhabditis elegans	inferred by curator	15177025	ORegAnno	ce10	chrIII	7833750	7833765	+
TFLinkLT09283354	G5EE86	ttx-3	Caenorhabditis elegans	inferred by curator	15177025	ORegAnno	ce10	chrIII	7833750	7833765	+
TFLinkLT09283355	G5EE86	ttx-3	Caenorhabditis elegans	inferred by curator	15177025	ORegAnno	ce10	chrII	10912882	10912897	+
TFLinkLT09283356	P41935	ceh-10	Caenorhabditis elegans	inferred by curator	15177025	ORegAnno	ce10	chrI	14142249	14142264	-
TFLinkLT09283357	G5EE86	ttx-3	Caenorhabditis elegans	inferred by curator	15177025	ORegAnno	ce10	chrI	14142249	14142264	-
