Protein name,Uniprot ID,NCBI Gene ID,Function
DPYSL3,Q14195,1809,target gene
TTF2,Q9UNY4,8458,transcription factor
APC,P25054,324,transcription factor and target gene
BAZ1B,Q9UIG0,9031,target gene
ZFP36,P26651,7538,transcription factor and target gene
HMGB3,O15347,3149,target gene
FABP4,P15090,2167,target gene
LATS2,Q9NRM7,26524,target gene
PARP1,P09874,142,transcription factor and target gene
DKK3,Q9UBP4,27122,target gene
HSD17B11,Q8NBQ5,51170,target gene
S100A6,P06703,6277,target gene
IL5,P05113,3567,target gene
F7,P08709,2155,target gene
ACAT2,Q9BWD1,39,target gene
AKR1B10,O60218,57016,target gene
MYD88,Q99836,4615,target gene
CYP2A6,P11509,1548,target gene
DCLRE1C,Q96SD1,64421,target gene
ZNF335,Q9H4Z2,63925,transcription factor
POSTN,Q15063,10631,target gene
CACNG3,O60359,10368,target gene
PHOX2A,O14813,401,transcription factor and target gene
ZNF267,Q14586,10308,transcription factor and target gene
NOP14,P78316,8602,target gene
SCGB1A1,P11684,7356,target gene
KLK4,Q9Y5K2,9622,target gene
MLH1,P40692,4292,target gene
RGS16,O15492,6004,target gene
FPR1,P21462,2357,target gene
IKBKB,O14920,3551,transcription factor
HSD17B4,P51659,3295,target gene
NQO1,P15559,1728,target gene
TUBA1B,P68363,10376,target gene
EREG,O14944,2069,target gene
RPS25,P62851,6230,target gene
GALT,P07902,2592,target gene
ACTR3,P61158,10096,target gene
ARID1A,O14497,8289,transcription factor
SIAH1,Q8IUQ4,6477,target gene
E2F3,O00716,1871,transcription factor and target gene
GABPB1,Q06547,2553,transcription factor
PHB,P35232,5245,target gene
H3F3A,P84243,3020;3021,target gene
LGALS3BP,Q08380,3959,target gene
COL4A3,Q01955,1285,target gene
SPARC,P09486,6678,target gene
HSPA8,P11142,3312,target gene
ETV7,Q9Y603,51513,transcription factor
FABP3,P05413,2170,target gene
CKM,P06732,1158,target gene
HEY1,Q9Y5J3,23462,transcription factor and target gene
LDHC,P07864,3948,target gene
FAF1,Q9UNN5,11124,target gene
RHO,P08100,6010,target gene
H6PD,O95479,9563,target gene
C20orf85,Q9H1P6,128602,target gene
PCYT1A,P49585,5130,target gene
LIG1,P18858,3978,target gene
CHRNA7,P36544,1139;89832,target gene
RLN2,P04090,6019,target gene
CSNK2B,P67870,1460,target gene
RGL2,O15211,5863,target gene
PDCD4,Q53EL6,27250,target gene
HLA-DQA2,P01906,3118,target gene
DEFA1,P59665,1667;728358,target gene
FMO3,P31513,2328,target gene
MAT2A,P31153,4144,target gene
ADGRE1,Q14246,2015,target gene
EBAG9,O00559,9166,target gene
ABCC2,Q92887,1244,target gene
POU2AF1,Q16633,5450,transcription factor and target gene
ACR,P10323,49,target gene
SEC63,Q9UGP8,11231,target gene
HOXC10,Q9NYD6,3226,transcription factor
ALG5,Q9Y673,29880,target gene
RPA3,P35244,6119,target gene
GBP1,P32455,2633,target gene
LANCL1,O43813,10314,target gene
POLG2,Q9UHN1,11232,target gene
YY1,P25490,7528,transcription factor and target gene
DPP4,P27487,1803,target gene
CDH13,P55290,1012,target gene
FAT1,Q14517,2195,target gene
WAPL,Q7Z5K2,23063,target gene
PBX2,P40425,5089,transcription factor
C8orf76,Q96K31,84933,target gene
ABCB10,Q9NRK6,23456,target gene
POLB,P06746,5423,target gene
APCS,P02743,325,target gene
COL2A1,P02458,1280,target gene
HLA-C,Q29960,-,target gene
KDM5B,Q9UGL1,10765,target gene
DKC1,O60832,1736,target gene
ATP6V1B2,P21281,526,target gene
HLA-A,P30443,3105,target gene
NGF,P01138,4803,target gene
SOX18,P35713,54345,target gene
NCBP1,Q09161,4686,target gene
DMAP1,Q9NPF5,55929,transcription factor
MVP,Q14764,9961,target gene
CARTPT,Q16568,9607,target gene
FLT1,P17948,2321,transcription factor and target gene
SETBP1,Q9Y6X0,26040,transcription factor
COL11A1,P12107,1301,target gene
NPAT,Q14207,4863,target gene
ZNF76,P36508,7629,transcription factor
ATP6V0A2,Q9Y487,23545,target gene
RAD18,Q9NS91,56852,target gene
XDH,P47989,7498,target gene
SARS,P49591,6301,target gene
SPART,Q8N0X7,23111,target gene
JARID2,Q92833,3720,transcription factor and target gene
KIR2DL3,P43628,3804,target gene
PDGFB,P01127,5155,target gene
CXCL5,P42830,6374,target gene
CDK4,P11802,1019,target gene
NOX1,Q9Y5S8,27035,target gene
HLA-B,P30484,-,target gene
HMGN1,P05114,3150,transcription factor
LRRTM1,Q86UE6,347730,target gene
NFYC,Q13952,4802,transcription factor and target gene
SLC39A6,Q13433,25800,target gene
TXN2,Q99757,25828,target gene
PAPSS2,O95340,9060,target gene
NEFM,P07197,4741,target gene
TF,P02787,7018,target gene
CTNNB1,P35222,1499,transcription factor and target gene
TBL1X,O60907,6907,transcription factor
ZBTB14,O43829,7541,transcription factor
SERPINA1,P01009,5265,target gene
HUNK,P57058,30811,target gene
TERT,O14746,7015,target gene
MTR,Q99707,4548,target gene
CERS3,Q8IU89,204219,target gene
ESRRA,P11474,2101,transcription factor and target gene
UHRF1,Q96T88,29128,transcription factor and target gene
FOXL1,Q12952,2300,transcription factor and target gene
CSH1,P0DML2,1442,target gene
LYPLAL1,Q5VWZ2,127018,target gene
ARMC4,Q5T2S8,55130,target gene
PCNA,P12004,5111,target gene
IFNL1,Q8IU54,282618,target gene
KRT16,P08779,3868,target gene
CYBB,P04839,1536,target gene
RSF1,Q96T23,51773,target gene
IGF2R,P11717,3482,target gene
SCARB2,Q14108,950,target gene
KNTC1,P50748,9735,target gene
KAT5,Q92993,10524,transcription factor and target gene
NKX2-5,P52952,1482,transcription factor and target gene
CLK3,P49761,1198,target gene
PTBP1,P26599,5725,target gene
MC1R,Q01726,4157,target gene
M6PR,P20645,4074,target gene
LCOR,Q96JN0,84458,transcription factor
N4BP1,O75113,9683,target gene
OSM,P13725,5008,target gene
ZNF274,Q96GC6,10782,target gene
