ZIC2,O95409,7546,transcription factor,Homo sapiens
SPRR3,Q9UBC9,6707,target gene,Homo sapiens
CLCN5,P51795,1184,target gene,Homo sapiens
MCM5,P33992,4174,transcription factor,Homo sapiens
GABARAP,O95166,11337,target gene,Homo sapiens
RUNX2,Q13950,860,transcription factor,Homo sapiens
TRPV6,Q9H1D0,55503,target gene,Homo sapiens
HNRNPD,Q14103,3184,transcription factor,Homo sapiens
XAGE5,Q8WWM1,170627,target gene,Homo sapiens
TFIP11,Q9UBB9,24144,target gene,Homo sapiens
ENPP2,Q13822,5168,target gene,Homo sapiens
KCNG4,Q8TDN1,93107,target gene,Homo sapiens
RPS5,P46782,6193,target gene,Homo sapiens
CRY2,Q49AN0,1408,target gene,Homo sapiens
SLC16A1,P53985,6566,target gene,Homo sapiens
PLG,P00747,5340,target gene,Homo sapiens
MEMO1,Q9Y316,51072,target gene,Homo sapiens
PRKCE,Q02156,5581,target gene,Homo sapiens
AGXT,P21549,189,target gene,Homo sapiens
PREB,Q9HCU5,10113,transcription factor,Homo sapiens
ATF6,P18850,22926,transcription factor,Homo sapiens
VEGFA,P15692,7422,target gene,Homo sapiens
MYH10,P35580,4628,target gene,Homo sapiens
APBB1IP,Q7Z5R6,54518,target gene,Homo sapiens
DAB2,P98082,1601,target gene,Homo sapiens
KDM4C,Q9H3R0,23081,transcription factor,Homo sapiens
PSMD8,P48556,5714,target gene,Homo sapiens
COL10A1,Q03692,1300,target gene,Homo sapiens
TFF1,P04155,7031,target gene,Homo sapiens
SIRT6,Q8N6T7,51548,target gene,Homo sapiens
SIGIRR,Q6IA17,59307,target gene,Homo sapiens
GLI3,P10071,2737,transcription factor,Homo sapiens
RNASE4,P34096,6038,target gene,Homo sapiens
ASIC4,Q96FT7,55515,target gene,Homo sapiens
ARID4A,P29374,5926,target gene,Homo sapiens
KLHL21,Q9UJP4,9903,target gene,Homo sapiens
PRDM14,Q9GZV8,63978,transcription factor,Homo sapiens
MME,P08473,4311,target gene,Homo sapiens
ZNF85,Q03923,7639,target gene,Homo sapiens
GINM1,Q9NU53,116254,target gene,Homo sapiens
TAF5L,O75529,27097,target gene,Homo sapiens
ASB9,Q96DX5,140462,target gene,Homo sapiens
CYP1B1,Q16678,1545,target gene,Homo sapiens
ADAMTS5,Q9UNA0,11096,target gene,Homo sapiens
MMP11,P24347,4320,target gene,Homo sapiens
QSOX1,O00391,5768,target gene,Homo sapiens
RALGDS,Q12967,5900,target gene,Homo sapiens
HERC2,O95714,8924,target gene,Homo sapiens
TRAP1,Q12931,10131,target gene,Homo sapiens
DFFA,O00273,1676,target gene,Homo sapiens
IL2,P60568,3558,target gene,Homo sapiens
RFC3,P40938,5983,target gene,Homo sapiens
NCOA1,Q15788,8648,transcription factor,Homo sapiens
AQP1,P29972,358,target gene,Homo sapiens
MMP1,P03956,4312,target gene,Homo sapiens
RPS27A,P62979,6233,target gene,Homo sapiens
BCL11A,Q9H165,53335,transcription factor,Homo sapiens
TCEAL1,Q15170,9338,target gene,Homo sapiens
IL3RA,P26951,3563,target gene,Homo sapiens
CD55,P08174,1604,target gene,Homo sapiens
TRPC1,P48995,7220,target gene,Homo sapiens
ZFP36L1,Q07352,677,transcription factor,Homo sapiens
ESR1,P03372,2099,transcription factor,Homo sapiens
SMARCC1,Q92922,6599,transcription factor,Homo sapiens
BRD2,P25440,6046,target gene,Homo sapiens
IL12B,P29460,3593,target gene,Homo sapiens
HOXD8,P13378,3234,transcription factor,Homo sapiens
MAPK7,Q13164,5598,target gene,Homo sapiens
DUSP1,P28562,1843,target gene,Homo sapiens
AGR2,O95994,10551,target gene,Homo sapiens
USPL1,Q5W0Q7,10208,target gene,Homo sapiens
PSMD6,Q15008,9861,target gene,Homo sapiens
POU2F1,P14859,5451,transcription factor,Homo sapiens
MNDA,P41218,4332,target gene,Homo sapiens
TGFBRAP1,Q8WUH2,9392,target gene,Homo sapiens
PSMB10,P40306,5699,target gene,Homo sapiens
HIVEP2,P31629,3097,transcription factor,Homo sapiens
SV2A,Q7L0J3,9900,target gene,Homo sapiens
HPSE,Q9Y251,10855,target gene,Homo sapiens
FOXA1,P55317,3169,transcription factor,Homo sapiens
SLC6A6,P31641,6533,target gene,Homo sapiens
FANCA,O15360,2175,target gene,Homo sapiens
ID3,Q02535,3399,transcription factor,Homo sapiens
B2M,P61769,567,target gene,Homo sapiens
NDUFV1,P49821,4723,target gene,Homo sapiens
VCAN,P13611,1462,target gene,Homo sapiens
ZMAT3,Q9HA38,64393,target gene,Homo sapiens
CLDN1,O95832,9076,target gene,Homo sapiens
HTATIP2,Q9BUP3,10553,transcription factor,Homo sapiens
MMP15,P51511,4324,target gene,Homo sapiens
LAMB2,P55268,3913,target gene,Homo sapiens
NFYA,P23511,4800,transcription factor,Homo sapiens
PTPN9,P43378,5780,target gene,Homo sapiens
CLCN2,P51788,1181,target gene,Homo sapiens
IRF2,P14316,3660,transcription factor,Homo sapiens
KRT75,O95678,9119,target gene,Homo sapiens
HSP90B1,P14625,7184,target gene,Homo sapiens
ARHGEF7,Q14155,8874,target gene,Homo sapiens
MMP20,O60882,9313,target gene,Homo sapiens
SCOC,Q9UIL1,60592,target gene,Homo sapiens
HLA-A,P01891,-,target gene,Homo sapiens
HSF1,Q00613,3297,transcription factor,Homo sapiens
HMGCS2,P54868,3158,target gene,Homo sapiens
SLC26A4,O43511,5172,target gene,Homo sapiens
GALNT2,Q10471,2590,target gene,Homo sapiens
F9,P00740,2158,target gene,Homo sapiens
TFEB,P19484,7942,transcription factor,Homo sapiens
PSMG1,O95456,8624,target gene,Homo sapiens
BCL2L1,Q07817,598,target gene,Homo sapiens
ANGPTL4,Q9BY76,51129,target gene,Homo sapiens
C16orf54,Q6UWD8,283897,target gene,Homo sapiens
SPIDR,Q14159,23514,target gene,Homo sapiens
SFRP4,Q6FHJ7,6424,target gene,Homo sapiens
IP6K2,Q9UHH9,51447,target gene,Homo sapiens
CKS1B,P61024,1163,target gene,Homo sapiens
KCNN3,Q9UGI6,3782,target gene,Homo sapiens
HOXA7,P31268,3204,transcription factor,Homo sapiens
EPHA2,P29317,1969,target gene,Homo sapiens
FANCD2,Q9BXW9,2177,target gene,Homo sapiens
MAPK9,P45984,5601,target gene,Homo sapiens
FOXA2,Q9Y261,3170,transcription factor,Homo sapiens
MEF2A,Q02078,4205,transcription factor,Homo sapiens
E2F1,Q01094,1869,transcription factor,Homo sapiens
MELTF,P08582,4241,target gene,Homo sapiens
PLPPR1,Q8TBJ4,54886,target gene,Homo sapiens
BARD1,Q99728,580,transcription factor,Homo sapiens
GPR146,Q96CH1,115330,target gene,Homo sapiens
KHK,P50053,3795,target gene,Homo sapiens
SRR,Q9GZT4,63826,target gene,Homo sapiens
ZNF224,Q9NZL3,7767,transcription factor,Homo sapiens
HBD,P02042,3045,target gene,Homo sapiens
KRT20,P35900,54474,target gene,Homo sapiens
DAAM1,Q9Y4D1,23002,target gene,Homo sapiens
NRGN,Q92686,4900,target gene,Homo sapiens
AREG,P15514,374,target gene,Homo sapiens
KRT4,P19013,-,target gene,Homo sapiens
DDIT4,Q9NX09,54541,target gene,Homo sapiens
RCHY1,Q96PM5,25898,target gene,Homo sapiens
FABP4,P15090,2167,target gene,Homo sapiens
MMP12,P39900,4321,target gene,Homo sapiens
RABGGTA,Q92696,5875,target gene,Homo sapiens
MAD1L1,Q9Y6D9,8379,target gene,Homo sapiens
FGL1,Q08830,2267,target gene,Homo sapiens
SLA2,Q9H6Q3,84174,transcription factor,Homo sapiens
BTG2,P78543,7832,transcription factor,Homo sapiens
MAP1A,P78559,4130,target gene,Homo sapiens
MKLN1,Q9UL63,4289,target gene,Homo sapiens
NOTCH1,P46531,4851,target gene,Homo sapiens
PPARG,P37231,5468,transcription factor,Homo sapiens
CP,P00450,1356,target gene,Homo sapiens
SFMBT1,Q9UHJ3,51460,target gene,Homo sapiens
CPSF1,Q10570,29894,target gene,Homo sapiens
EHF,Q9NZC4,26298,transcription factor,Homo sapiens
UBP1,Q9NZI7,7342,transcription factor,Homo sapiens
WDR25,Q64LD2,79446,target gene,Homo sapiens
RGL2,O15211,5863,target gene,Homo sapiens
ST3GAL4,Q11206,6484,target gene,Homo sapiens
CGB3,P0DN86,1082;93659;94115,target gene,Homo sapiens
RPTOR,Q8N122,57521,target gene,Homo sapiens
RNF2,Q99496,6045,target gene,Homo sapiens
DGKE,P52429,8526,target gene,Homo sapiens
LRP1,Q07954,4035,target gene,Homo sapiens
PML,P29590,5371,transcription factor,Homo sapiens
OGT,O15294,8473,target gene,Homo sapiens
SLC39A7,Q92504,7922,target gene,Homo sapiens
ESRRA,P11474,2101,transcription factor,Homo sapiens
TMED4,Q7Z7H5,222068,target gene,Homo sapiens
HAX1,O00165,10456,transcription factor,Homo sapiens
TNFRSF18,Q9Y5U5,8784,target gene,Homo sapiens
NFE2L2,Q16236,4780,transcription factor,Homo sapiens
CTSK,P43235,1513,target gene,Homo sapiens
ENO1,P06733,2023,transcription factor,Homo sapiens
PUM3,Q15397,9933,target gene,Homo sapiens
TBC1D16,Q8TBP0,125058,target gene,Homo sapiens
RABIF,P47224,5877,target gene,Homo sapiens
PTGES,O14684,9536,target gene,Homo sapiens
LRRTM1,Q86UE6,347730,target gene,Homo sapiens
CTSD,P07339,1509,target gene,Homo sapiens
OGN,P20774,4969,target gene,Homo sapiens
BCL2L11,O43521,10018,target gene,Homo sapiens
WNT2B,Q93097,7482,target gene,Homo sapiens
TNFAIP6,P98066,7130,target gene,Homo sapiens
TLX2,O43763,3196,target gene,Homo sapiens
ESRRB,O95718,2103,transcription factor,Homo sapiens
SMURF2,Q9HAU4,64750,transcription factor,Homo sapiens
PPP1CB,P62140,5500,target gene,Homo sapiens
