foxo,Q95V55,41709,transcription factor
vnd,P22808,31003,transcription factor and target gene
Prm,P35416,39002,target gene
Sox15,P40657,36575,target gene
MTA1-like,B7Z0T5,40693,transcription factor
zld,M9NES1,32994,transcription factor
Pdp1,Q9TVY0,-,transcription factor
Myb,P04197,32543,transcription factor
kay,A8MPH9,3772082,transcription factor
Sps2,Q9VKY8,34397,target gene
Stat92E,Q24151,42428,transcription factor
Optix,Q95RW8,44108,target gene
toy,Q9V490,43833,transcription factor
zld,Q7YU17,-,transcription factor
MTF-1,Q1LZ06,-,transcription factor
Aef1,P39413,40370,transcription factor
numb,P16554,34263,target gene
Brd,Q5G1W4,-,target gene
Ndg,A1Z877,36089,target gene
betaTub60D,P08841,37888,target gene
sv,O16804,-,transcription factor and target gene
hth,O46339,41273,transcription factor
MTF-1,Q9VSY7,39089,transcription factor
Cp15,P07185,38999,target gene
ph-p,P39769,31181,target gene
ara,Q24248,39439,transcription factor and target gene
hkb,Q9VN10,40549,transcription factor
Top2,P15348,35225,transcription factor
btl,Q09147,39564,target gene
Cp18,P07184,38998,target gene
ac,P10083,30981,transcription factor and target gene
Cf2,P20385,33692,transcription factor and target gene
Raf,P11346,31221,target gene
B4YXN0_DROME,B4YXN0,-,transcription factor
ph-d,Q9NF31,44889,target gene
ttk,P17789,48317,transcription factor
dysf,A8JRD4,43174,target gene
hb,P05084,41032,transcription factor and target gene
dap,P91654,-,target gene
cwo,Q9VGZ5,44669,transcription factor
ras,Q07152,43873,target gene
Ance,Q10714,34805,target gene
B4YXM3_DROME,B4YXM3,-,transcription factor
side,Q967X6,-,transcription factor
Mes4,Q8MSF2,-,target gene
Ant2,O62526,32008,target gene
dap,Q7JNL9,36001,target gene
C15,Q7KS72,42544,target gene
bib,P23645,34330,target gene
msn,Q7KV90,44030,target gene
pan,Q8IMA8,43769,transcription factor
Pax,Q9VIX2,35215,transcription factor
pan,P91943,43769,transcription factor
bin,Q9VS05,38766,transcription factor
ind,O96620,-,transcription factor and target gene
PH4alphaSG2,Q8SWR1,-,target gene
tud,P25823,37417,target gene
Prm,P35415,39002,target gene
Bx,Q8IQX7,32846,target gene
ng1,P23938,31300,target gene
tj,Q7JS61,-,transcription factor
B4YXM2_DROME,B4YXM2,-,transcription factor
sc,P10084,30982,transcription factor and target gene
Cpr47Ee,Q8MQM6,-,target gene
lbe,Q7JMT6,-,transcription factor and target gene
pnt,P51023,42757,transcription factor
apt,Q9W1M6,37734,transcription factor
Su(H),P28159,34881,transcription factor and target gene
rpr,Q24475,40015,target gene
Dref,O96083,-,transcription factor and target gene
Egfr,P04412,37455,target gene
Dad,O15968,-,target gene
otp,P56672,37364,target gene
msn,M9PBJ7,44030,target gene
ss,E1JIM6,41988,target gene
so,Q27350,35662,transcription factor and target gene
pros,P29617,41363,target gene
shn,Q24107,-,transcription factor
gsb,P09082,38005,transcription factor and target gene
MTF-1,A8JNP3,39089,transcription factor
sob,Q9VQS7,33581,transcription factor
Fer1HCH,Q7KRU8,46415,target gene
zld,X2BZL0,32994,transcription factor
ems,P18488,41697,transcription factor and target gene
sv,Q59DP0,43825,transcription factor and target gene
br,E1JJB2,44505,transcription factor
PH4alphaSG1,Q8T5S7,-,target gene
h,P14003,38995,transcription factor and target gene
Sxl,P19339,3772180,target gene
tin,P22711,42536,transcription factor and target gene
dl,P15330,35047,transcription factor and target gene
PH4alphaSG1,Q9VA63,326112,target gene
ush,Q9VPQ6,33225,target gene
E(spl)m5-HLH,P13096,43158,transcription factor and target gene
MTA1-like,A0A0B4KG70,40693,transcription factor
E(spl),P13098,43161,transcription factor and target gene
slp1,P32030,33607,transcription factor and target gene
Sp1,R9PY21,31913,transcription factor
Fer1HCH,Q7KMQ5,-,target gene
Pdp1,Q9TW49,45588,transcription factor
brk,Q9XTN4,31665,transcription factor and target gene
Dtg,Q960I9,-,target gene
Hsp83,P02828,38389,target gene
mid,Q9VMR2,33770,transcription factor and target gene
Sp1,Q8IRM5,31913,transcription factor
z,P09956,31230,transcription factor and target gene
Ser,P18168,43275,target gene
rho,P20350,38168,target gene
Eig71Eg,Q24058,-,target gene
sli,P24014,36746,target gene
Gnf1,P35600,40607,target gene
apt,O44203,-,transcription factor
l(1)sc,P09774,30983,transcription factor and target gene
tup,Q9Y0Z9,35147,transcription factor
Brd,Q5G1Y7,-,target gene
Hsp70Ab,P02825,44920;48581,target gene
dap,Q8SZG6,-,target gene
bap,P22809,42537,transcription factor and target gene
cDNA,Q86B99,41443,target gene
Ubx,P83949,42034,transcription factor and target gene
bam,P22745,43038,target gene
grh,P13002,37038,transcription factor
Sgs3,P02840,39288,target gene
PH4alphaSG2,Q8IGX7,-,target gene
br,Q9W572,44505,transcription factor
Act57B,P53501,37368,target gene
Vm32E,Q9VKI3,34558,target gene
br,M9MSM6,44505,transcription factor
E(spl)m7-HLH,P13097,43160,target gene
da,P11420,34413,transcription factor
Pdp1,Q8IQ98,45588,transcription factor
Sema1b,O44253,-,target gene
ind,Q963L0,-,transcription factor and target gene
Hsf,P22813,37068,transcription factor
Pax,Q8INW7,35215,transcription factor
MTF-1,Q9NFS1,-,transcription factor
Fer1HCH,H1UUD2,46415,target gene
Hr3,P31396,36073,transcription factor
shn,A0A0B4KFC0,36171,transcription factor
C15,Q9VD99,-,target gene
Glg1,Q9VP27,40382,transcription factor
hh,Q02936,42737,target gene
sv,D1YSG9,43825,transcription factor and target gene
Hsp26,P02517,39075,target gene
tll,P18102,43656,transcription factor and target gene
lz,Q9W349,31883,transcription factor and target gene
sage,Q9VHG3,41105,target gene
oc,P22810,31802,transcription factor and target gene
Rh5,P91657,34615,target gene
Bx,M9PHX4,32846,target gene
Med,Q8IMG6,43725,transcription factor
shn,Q24605,-,transcription factor
msn,Q7KV88,44030,target gene
gsb-n,P09083,38004,transcription factor
emc,P18491,38091,target gene
ple,P18459,38746,target gene
Dmel\CG31211,Q86B98,41443,target gene
nau,P22816,42799,transcription factor
caup,P54269,39440,target gene
Dmel\CG42741,Q9W1W2,37654,transcription factor
shn,A1Z8F4,36171,transcription factor
Med,O62609,43725,transcription factor
VhaPPA1-1,Q9VFE3,45247,target gene
