Protein name,Uniprot ID,NCBI Gene ID,Function,Small-scale evidence,Number of interactions
en,P02836,36240,transcription factor and target gene,Yes,3455
Clk,O61735,38872,transcription factor and target gene,Yes,224
hkb,Q9VN10,40549,transcription factor and target gene,Yes,17
jumu,Q9XTP7,41265,transcription factor and target gene,Yes,85
Jra,P18289,36057,transcription factor and target gene,Yes,87
Dll,P20009,37973,transcription factor and target gene,Yes,58
lz,Q9W349,31883,transcription factor and target gene,Yes,82
Mad,P42003,33529,transcription factor and target gene,Yes,1826
tup,Q9VJ37,35147,transcription factor and target gene,Yes,46
tin,P22711,42536,transcription factor and target gene,Yes,44
His2B; His2B:CG17949; His2B:CG33868; His2B:CG33870; His2B:CG33872; His2B:CG33874; His2B:CG33876; His2B:CG33878; His2B:CG33880; His2B:CG33882; His2B:CG33884; His2B:CG33886; His2B:CG33888; His2B:CG33890; His2B:CG33892; His2B:CG33894; His2B:CG33896; His2B:CG33898; His2B:CG33900; His2B:CG33902; His2B:CG33904; His2B:CG33906; His2B:CG33908; His2B:CG33910,P02283,326273;3771809;3771891;3771957;3772013;3772058;3772081;3772083;3772094;3772099;3772104;3772166;3772203;3772248;3772264;3772265;3772271;3772276;3772299;3772336;3772496;3772502;3772575,transcription factor,Yes,1
BEAF-32,Q7JN06,36645,transcription factor and target gene,Yes,37
toy,Q9V490,43833,transcription factor and target gene,Yes,74
Dfd,P07548,40832,transcription factor and target gene,Yes,360
gsb,P09082,38005,transcription factor and target gene,Yes,28
zen,P09089,40828,transcription factor and target gene,Yes,2023
prd,P06601,34629,transcription factor and target gene,Yes,24
srp,P52172,41944,transcription factor and target gene,Yes,58
grh,P13002,37038,transcription factor and target gene,Yes,4399
usp,P20153,31165,transcription factor and target gene,Yes,46
dsx,P23023,40940,transcription factor and target gene,Yes,1456
Dif,P98149,35045,transcription factor and target gene,Yes,58
vvl,P16241,38752,transcription factor and target gene,Yes,47
oc,P22810,31802,transcription factor and target gene,Yes,70
Dhpr,Q9VSU6,39050,transcription factor and target gene,Yes,50
hb,P05084,41032,transcription factor and target gene,Yes,813
trh,Q24119,38065,transcription factor and target gene,Yes,62
Su(H),P28159,34881,transcription factor and target gene,Yes,595
ey,O18381,43812,transcription factor and target gene,Yes,266
