Myod1,Q02346,337868,transcription factor,Rattus norvegicus
Myl1,P02600,56781,target gene,Rattus norvegicus
Gjb1,P08033,29584,target gene,Rattus norvegicus
Hnf1a,P15257,24817,transcription factor,Rattus norvegicus
Myog,P20428,29148,transcription factor,Rattus norvegicus
Thrb,P18113,-,transcription factor,Rattus norvegicus
St2a2,P22789,24902,target gene,Rattus norvegicus
Myh6,G3V885,29556,target gene,Rattus norvegicus
Thra,P63059,81812,transcription factor,Rattus norvegicus
Chrng,P18916,25753,target gene,Rattus norvegicus
Gata4,P46152,54254,transcription factor,Rattus norvegicus
Mlc1,D4ABB2,315215,target gene,Rattus norvegicus
